run_id,variant,seed,step,action,reward,achievements,note
5b6b900b,probe_a_cf,0,0,move_up,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,1,move_up,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,2,move_up,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,3,do,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,4,move_up,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,5,move_left,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,6,move_left,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,7,move_left,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,8,move_left,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,9,move_left,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,10,move_left,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,11,move_left,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,12,move_left,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,13,move_left,0.0,0,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,14,do,1.0,1,"belief={'situation': 'near tree and cow, no inventory', 'next_sub_g | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,15,do,0.0,1,"belief={'situation': 'near tree and cow, have wood in inventory', ' | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,16,move_up,0.0,1,"belief={'situation': 'near tree and cow, have wood in inventory', ' | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,17,move_left,0.0,1,"belief={'situation': 'near tree and cow, have wood in inventory', ' | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,18,do,0.0,1,"belief={'situation': 'near tree and cow, have wood in inventory', ' | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,19,move_down,0.0,1,"belief={'situation': 'near tree and cow, have wood in inventory', ' | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,20,move_left,0.0,1,"belief={'situation': 'near tree and cow, have wood in inventory', ' | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,21,move_left,0.0,1,"belief={'situation': 'near tree and cow, have wood in inventory', ' | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,22,move_left,0.0,1,"belief={'situation': 'near tree and cow, have wood in inventory', ' | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,23,do,1.0,2,"belief={'situation': 'near tree and cow, have wood in inventory', ' | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,24,move_left,0.0,2,"belief={'situation': 'near tree and cow, have wood in inventory', ' | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,25,move_down,0.0,2,"belief={'situation': 'near tree, have wood in inventory', 'next_sub | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,26,do,0.0,2,"belief={'situation': 'near tree, have wood in inventory', 'next_sub | rule=unknown; I must discover what each action yields a"
5b6b900b,probe_a_cf,0,27,do,0.0,2,"belief={'situation': 'near tree, have wood in inventory', 'next_sub | rule=unknown; I must discover what each action yields a"
