run_id,variant,env_id,seed,step,action,reward,done,note
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,0,N,0.0,False,"A|belief={'layout': 'I am in a room with lava or water to the east and no visible stairs  | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,1,N,0.0,False,"A|belief={'layout': 'I am in a room with lava or water to the east and no visible stairs  | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,2,N,0.0,False,"A|belief={'layout': 'I am in a room with lava or water to the east and no visible stairs  | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,3,N,0.0,False,"A|belief={'layout': 'I am in a room with lava or water to the east and no visible stairs  | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,4,E,0.0,False,"A|belief={'layout': 'I am in a room with lava or water to the east and no visible stairs  | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,5,E,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,6,E,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I do not yet know how the obstacles here work, so I must discover it by trying t"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,7,E,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I do not yet know how the obstacles here work, so I must discover it by trying t"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,8,S,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,9,S,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,10,S,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,11,S,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,12,W,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,13,W,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,14,W,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,15,W,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,16,N,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,17,N,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,18,N,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,19,N,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,20,N,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,21,N,-0.01,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I still do not know how the obstacles here work, so I must discover it by trying"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,22,N,-0.01,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I have tried moving a boulder and it didn't work, which suggests that some obsta"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,23,E,0.0,False,"A|belief=I am in a room with lava or water to the east and no visible stairs or goal, my  | mech=I have tried moving a boulder and it didn't work, which suggests that some obsta"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,24,E,0.0,False,"A|belief=I am in a room with lava or water to the east, my next move is to explore east t | mech=I still need to discover how to interact with lava or water, trying to move into"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,25,E,0.0,False,"A|belief=I am in a room with lava or water to the east, my next move is to explore east t | mech=I still need to discover how to interact with lava or water, trying to move into"
6c668896,probe_a_mh,MiniHack-River-Narrow-v0,40,26,E,0.0,False,"A|belief=I am in a room with lava or water to the east, my next move is to explore east t | mech=I still need to discover how to interact with lava or water, trying to move into"
