run_id,variant,seed,step,command,reward,score,max_score,won,note
347d7d38,probe2_tw,75,0,examine board,0.0,0,1,False,hyps=[] | plan= | CONTRADICTION
347d7d38,probe2_tw,75,1,unlock box with latchkey,0.0,0,1,False,"hyps=['interacting with objects earns score', 'moving to new locations earns score'] | plan=test interacting with objects | CONTRADICTION"
347d7d38,probe2_tw,75,2,examine box,0.0,0,1,False,"hyps=['interacting with objects earns score', 'using the latchkey earns score'] | plan=test interacting with objects by examining the box"
347d7d38,probe2_tw,75,3,examine gate,0.0,0,1,False,"hyps=['interacting with objects earns score', 'using the latchkey earns score'] | plan=test interacting with objects by examining the gat"
347d7d38,probe2_tw,75,4,open gate,0.0,0,1,False,"hyps=['interacting with objects earns score', 'using the latchkey earns score'] | plan=test interacting with objects by opening the gate"
347d7d38,probe2_tw,75,5,go north,0.0,0,1,False,"hyps=['interacting with objects earns score', 'moving to new locations earns score'] | plan=test moving to new locations by going north"
347d7d38,probe2_tw,75,6,go south,0.0,0,1,False,"hyps=['interacting with objects earns score', 'moving to new locations earns score'] | plan=test moving to new locations by going south"
347d7d38,probe2_tw,75,7,go west,0.0,0,1,False,"hyps=['moving to new locations earns score', 'interacting with objects earns score'] | plan=test moving to new locations"
347d7d38,probe2_tw,75,8,go east,0.0,0,1,False,"hyps=['moving to new locations earns score', 'interacting with objects earns score'] | plan=test moving to new locations by going east"
347d7d38,probe2_tw,75,9,go north,0.0,0,1,False,"hyps=['moving to new locations earns score', 'interacting with objects earns score'] | plan=test moving to new locations by going north"
347d7d38,probe2_tw,75,10,go south,0.0,0,1,False,"hyps=['moving to new locations earns score', 'using the latchkey earns score'] | plan=test moving to new locations by going south"
347d7d38,probe2_tw,75,11,examine box,0.0,0,1,False,"hyps=['interacting with objects earns score', 'using the latchkey earns score'] | plan=test interacting with objects by examining the box"
347d7d38,probe2_tw,75,12,lock box with latchkey,0.0,0,1,False,"hyps=['interacting with objects earns score', 'using the latchkey earns score'] | plan=test using the latchkey on the box"
347d7d38,probe2_tw,75,13,unlock box with latchkey,0.0,0,1,False,"hyps=['using the latchkey earns score', 'interacting with objects earns score'] | plan=test using the latchkey on other objects"
347d7d38,probe2_tw,75,14,go west,0.0,0,1,False,"hyps=['using the latchkey earns score', 'interacting with objects earns score'] | plan=test using the latchkey on other objects and explo"
347d7d38,probe2_tw,75,15,take onion,0.0,0,1,False,"hyps=['interacting with objects earns score', 'moving to new locations earns score'] | plan=test interacting with the onion and explore the ea"
347d7d38,probe2_tw,75,16,examine onion,0.0,0,1,False,"hyps=['interacting with objects earns score', 'using the latchkey earns score'] | plan=test interacting with the onion and explore the ea"
347d7d38,probe2_tw,75,17,eat onion,0.0,0,1,False,"hyps=['interacting with objects earns score', 'using the latchkey earns score'] | plan=test interacting with the onion and explore the ea"
347d7d38,probe2_tw,75,18,go east,0.0,0,1,False,"hyps=['interacting with objects earns score', 'using the latchkey earns score'] | plan=test moving to new locations and interacting with "
347d7d38,probe2_tw,75,19,go north,0.0,0,1,False,"hyps=['interacting with objects earns score', 'moving to new locations earns score'] | plan=test moving to new locations"
347d7d38,probe2_tw,75,20,go south,0.0,0,1,False,"hyps=['moving to new locations earns score', 'using the latchkey earns score'] | plan=test moving to new locations"
347d7d38,probe2_tw,75,21,go west,0.0,0,1,False,"hyps=['moving to new locations earns score', 'using the latchkey earns score'] | plan=test moving to new locations by going west"
347d7d38,probe2_tw,75,22,go east,0.0,0,1,False,"hyps=['moving to new locations earns score', 'using the latchkey earns score'] | plan=test moving to new locations by going east"
347d7d38,probe2_tw,75,23,go north,0.0,0,1,False,"hyps=['moving to new locations earns score', 'using the latchkey earns score'] | plan=test moving to new locations by going north"
347d7d38,probe2_tw,75,24,go south,0.0,0,1,False,"hyps=['moving to new locations earns score', 'using the latchkey earns score'] | plan=test moving to new locations by going south"
347d7d38,probe2_tw,75,25,go west,0.0,0,1,False,"hyps=['moving to new locations earns score', 'using the latchkey earns score'] | plan=test moving to new locations by going west"
347d7d38,probe2_tw,75,26,go east,0.0,0,1,False,"hyps=['moving to new locations earns score', 'using the latchkey earns score'] | plan=test moving to new locations by going east"
347d7d38,probe2_tw,75,27,examine box,0.0,0,1,False,"hyps=['interacting with objects earns score', 'using the latchkey earns score'] | plan=test interacting with objects by examining the box"
347d7d38,probe2_tw,75,28,open box,0.0,0,1,False,"hyps=['interacting with objects earns score', 'using the latchkey earns score'] | plan=test interacting with objects by trying to open th"
347d7d38,probe2_tw,75,29,take glass from box,0.0,0,1,False,"hyps=['interacting with objects earns score', 'using the latchkey earns score'] | plan=test interacting with objects by trying to take th"
