run_id,variant,env_id,seed,step,action,reward,done,note
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,0,E,0.0,False,"belief=The goal is likely to be downstairs, but I need to explore to find it. My next m | mech=I believe that moving into a . (floor) space is safe, but I'm unsure about the }"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,1,E,0.0,False,"belief=The goal is likely to be downstairs, but I need to explore to find it. My next m | mech=I believe that moving into a. (floor) space is safe, but I'm unsure about the } "
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,2,E,0.0,False,"belief=The goal is likely to be downstairs, but I need to explore to find it. My next m | mech=I believe that moving into a . (floor) space is safe, but I'm unsure about the }"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,3,E,0.0,False,"belief=The goal is likely to be downstairs, but I need to explore to find it. My next m | mech=I believe that moving into a . (floor) space is safe, but I'm unsure about the }"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,4,E,0.0,False,"belief=The goal is likely to be downstairs, but I need to explore to find it. My next m | mech=I believe that moving into a . (floor) space is safe, but I'm unsure about the }"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,5,E,0.0,False,"belief=The goal is likely to be downstairs, and my next move will be to head east to ga | mech=I believe that moving into a . (floor) space is safe. I'm unsure about the } (la"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,6,S,0.0,False,"belief=The goal is likely to be downstairs, and my next move will be to head south to g | mech=I believe that moving into a. (floor) space is safe. I'm unsure about the } (lav"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,7,S,0.0,False,"belief=The goal is likely to be downstairs, and my next move will be to head south to g | mech=I believe that moving into a . (floor) space is safe. I'm unsure about the } (la"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,8,S,-0.01,False,"belief=The goal is likely to be downstairs, and my next move will be to head south to g | mech=I believe that moving into a. (floor) space is safe. I'm unsure about the } (lav"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,9,E,0.0,False,"belief=The goal is likely to be downstairs, and my next move will be to head east to ga | mech=I believe that moving into a. (floor) space is safe. I'm unsure about the } (lav"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,10,N,0.0,False,"belief=The goal is likely to be downstairs, and my next move will be to head east to ga | mech=I believe that moving into a. (floor) space is safe. I'm unsure about the } (lav"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,11,N,0.0,False,"belief=The goal is likely to be downstairs, and my next move will be to head north to g | mech=I believe that moving into a. (floor) space is safe. I'm unsure about the } (lav"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,12,N,0.0,False,"belief=The goal is likely to be downstairs, and my next move will be to head north to g | mech=I believe that moving into a. (floor) space is safe. I'm unsure about the } (lav"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,13,N,0.0,False,"belief=The goal is likely to be downstairs, and my next move will be to head north to g | mech=I believe that moving into a. (floor) space is safe. I'm unsure about the } (lav"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,14,N,0.0,False,"belief=The goal is likely to be downstairs, and my next move will be to head north to g | mech=I believe that moving into a. (floor) space is safe. I'm unsure about the } (lav"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,15,N,0.0,False,"belief=The goal is likely to be downstairs, and my next move will be to head north to g | mech=I believe that moving into a . (floor) space is safe. I'm unsure about the } (la"
272bf088,probe_mh,MiniHack-River-Narrow-v0,40,16,N,-0.01,False,"belief=The goal is likely to be downstairs, and my next move will be to head north to g | mech=I believe that moving into a . (floor) space is safe. I'm unsure about the } (la"
