run_id,variant,env_id,seed,step,action,reward,done,note
b347829f,probe_a_mh,MiniHack-River-Narrow-v0,10,0,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
b347829f,probe_a_mh,MiniHack-River-Narrow-v0,10,1,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
b347829f,probe_a_mh,MiniHack-River-Narrow-v0,10,2,S,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
b347829f,probe_a_mh,MiniHack-River-Narrow-v0,10,3,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
b347829f,probe_a_mh,MiniHack-River-Narrow-v0,10,4,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
b347829f,probe_a_mh,MiniHack-River-Narrow-v0,10,5,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
b347829f,probe_a_mh,MiniHack-River-Narrow-v0,10,6,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
b347829f,probe_a_mh,MiniHack-River-Narrow-v0,10,7,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
b347829f,probe_a_mh,MiniHack-River-Narrow-v0,10,8,S,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
b347829f,probe_a_mh,MiniHack-River-Narrow-v0,10,9,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
