run_id,variant,env_id,seed,step,action,reward,done,note
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,0,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,1,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,2,S,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,3,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,4,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,5,E,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,6,S,-0.01,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,7,S,-0.01,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,8,W,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=unknown; I do not yet know how the obstacles here work, so I must discover it by"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,9,W,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=I have ruled out that moving east and south is a viable option from this locatio"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,10,W,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=I have ruled out that moving east and south is a viable option from this locatio"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,11,W,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=I have ruled out that moving east and south is a viable option from this locatio"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,12,W,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=I have ruled out that moving east and south is a viable option from this locatio"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,13,W,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=I have ruled out that moving east and south is a viable option from this locatio"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,14,W,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=I have ruled out that moving east and south is a viable option from this locatio"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,15,W,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=I have ruled out that moving east and south is a viable option from this locatio"
fce1c43b,probe_a_mh,MiniHack-River-Narrow-v0,0,16,W,0.0,False,"A|belief={'layout': 'The goal is likely downstairs, but its location is unknown. The init | mech=I have ruled out that moving east and south is a viable option from this locatio"
