run_id,variant,level,seed,episode,step,cue,cue_text,chosen_key,correct_key,reward,note
302ce864,probe,hardest,0,0,0,1|1|2,green square dotted,A,D,0,confirmed=0 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,1,1|2|1,green triangle striped,A,C,0,confirmed=0 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,2,0|2|2,red triangle dotted,A,C,0,confirmed=0 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,3,0|0|1,red circle striped,A,D,0,confirmed=0 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,4,2|2|1,blue triangle striped,A,D,0,confirmed=0 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,5,1|2|2,green triangle dotted,A,A,1,confirmed=0 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,6,0|0|0,red circle solid,A,D,0,confirmed=1 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,7,0|0|2,red circle dotted,A,D,0,confirmed=1 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,8,2|1|2,blue square dotted,A,D,0,confirmed=1 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,9,2|2|2,blue triangle dotted,B,D,0,confirmed=1 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,10,1|1|0,green square solid,A,D,0,confirmed=1 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,11,2|1|1,blue square striped,B,C,0,confirmed=1 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,12,2|2|2,blue triangle dotted,A,D,0,confirmed=1 ruled_out=['B'] signal=none
302ce864,probe,hardest,0,0,13,2|2|1,blue triangle striped,B,D,0,confirmed=1 ruled_out=['A'] signal=none
302ce864,probe,hardest,0,0,14,2|1|0,blue square solid,A,A,1,confirmed=1 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,15,2|0|2,blue circle dotted,A,D,0,confirmed=2 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,16,0|0|0,red circle solid,B,D,0,confirmed=2 ruled_out=['A'] signal=none
302ce864,probe,hardest,0,0,17,2|0|1,blue circle striped,A,C,0,confirmed=2 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,18,1|2|0,green triangle solid,A,B,0,confirmed=2 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,19,2|2|2,blue triangle dotted,C,D,0,"confirmed=2 ruled_out=['A', 'B'] signal=none"
302ce864,probe,hardest,0,0,20,1|0|1,green circle striped,A,B,0,confirmed=2 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,21,0|2|1,red triangle striped,A,D,0,confirmed=2 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,22,2|1|2,blue square dotted,B,D,0,confirmed=2 ruled_out=['A'] signal=none
302ce864,probe,hardest,0,0,23,1|0|1,green circle striped,B,B,1,confirmed=2 ruled_out=['A'] signal=none
302ce864,probe,hardest,0,0,24,2|1|1,blue square striped,A,C,0,confirmed=3 ruled_out=['B'] signal=none
302ce864,probe,hardest,0,0,25,0|0|2,red circle dotted,A,D,0,confirmed=3 ruled_out=['A'] signal=none
302ce864,probe,hardest,0,0,26,0|2|0,red triangle solid,B,C,0,confirmed=3 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,27,2|0|0,blue circle solid,B,A,0,confirmed=3 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,28,0|2|1,red triangle striped,B,D,0,confirmed=3 ruled_out=['A'] signal=none
302ce864,probe,hardest,0,0,29,0|2|1,red triangle striped,C,D,0,"confirmed=3 ruled_out=['A', 'B'] signal=none"
302ce864,probe,hardest,0,0,30,2|2|1,blue triangle striped,C,D,0,"confirmed=3 ruled_out=['A', 'B'] signal=none"
302ce864,probe,hardest,0,0,31,0|1|1,red square striped,B,D,0,confirmed=3 ruled_out=[] signal=none
302ce864,probe,hardest,0,0,32,2|2|1,blue triangle striped,D,D,1,"confirmed=3 ruled_out=['A', 'B', 'C'] signal=none"
302ce864,probe,hardest,0,0,33,1|2|2,green triangle dotted,A,A,1,cached A (no model call)
