run_id,variant,task,variation,step,command,score,done,note
2ba680ba,probe52_sw,chemistry-mix,24,0,go kitchen,25,False,"rule=doors can be used to move between rooms, and  | rooms=1"
2ba680ba,probe52_sw,chemistry-mix,24,1,look around,25,False,"rule=doors can be used to move between rooms, obje | rooms=1"
2ba680ba,probe52_sw,chemistry-mix,24,2,read instructions to make sugar water,33,False,rule=kitchens often have ingredients and recipes f | rooms=2
2ba680ba,probe52_sw,chemistry-mix,24,3,look around,33,False,rule=kitchens often have ingredients and recipes f | rooms=2
2ba680ba,probe52_sw,chemistry-mix,24,4,open cupboard,33,False,rule=kitchens often have ingredients and recipes f | rooms=2
2ba680ba,probe52_sw,chemistry-mix,24,5,look in cupboard,33,False,rule=kitchens often have ingredients and recipes f | rooms=2
2ba680ba,probe52_sw,chemistry-mix,24,6,open drawer,33,False,rule=kitchens often have ingredients and recipes f | rooms=2
2ba680ba,probe52_sw,chemistry-mix,24,7,1,33,False,rule=kitchens often have ingredients and recipes f | rooms=2
2ba680ba,probe52_sw,chemistry-mix,24,8,look in drawer,33,False,rule=kitchens often have ingredients and recipes f | rooms=2
2ba680ba,probe52_sw,chemistry-mix,24,9,go hallway,33,False,rule=kitchens and adjacent rooms may have ingredie | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,10,go hallway,33,False,rule=kitchens and adjacent rooms may have ingredie | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,11,go outside,33,False,rule=the world may require specific object interac | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,12,go hallway,33,False,rule=the world may require specific object interac | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,13,go outside,33,False,rule=the world may require specific object interac | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,14,open hallway,33,False,rule=the world may require specific interactions w | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,15,open outside,33,False,rule=the world may require specific interactions w | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,16,open outside,33,False,rule=the world may require specific interactions w | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,17,open hallway,33,False,rule=the world may require using the 'open' comman | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,18,open bathroom,33,False,rule=the world may require using the 'open' comman | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,19,open bathroom,33,False,rule=the world may require using specific commands | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,20,look around,33,False,rule=the world may require using specific commands | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,21,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\,33,False,rule=the world may require using specific commands | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,22,go kitchen,33,False,rule=the world may require using specific commands | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,23,look around,33,False,rule=the world may require using specific commands | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,24,look around,33,False,rule=the world may require using specific commands | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,25,read instructions to make sugar water,33,False,rule=the world may require using specific commands | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,26,look around,33,False,rule=the world may require using specific commands | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,27,use lighter on oven,33,False,"rule=I hypothesize that using specific objects, su | rooms=3 | EXPERIMENT"
2ba680ba,probe52_sw,chemistry-mix,24,28,look around,33,False,rule=I hypothesize that certain objects or ingredi | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,29,open fridge,33,False,rule=I hypothesize that certain objects or ingredi | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,30,go greenhouse,33,False,"rule=I hypothesize that certain rooms, such as the | rooms=3 | EXPERIMENT"
2ba680ba,probe52_sw,chemistry-mix,24,31,look around,33,False,"rule=I hypothesize that specific rooms, such as th | rooms=3 | EXPERIMENT"
2ba680ba,probe52_sw,chemistry-mix,24,32,look around,33,False,"rule=I hypothesize that specific rooms, such as th | rooms=3 | EXPERIMENT"
2ba680ba,probe52_sw,chemistry-mix,24,33,go art studio,33,False,rule=I hypothesize that specific objects or tools  | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,24,34,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\,33,False,rule=I hypothesize that specific objects or tools  | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,0,go LOC hallway,0,False,rule=The world seems to be governed by physical ru | rooms=1
2ba680ba,probe52_sw,chemistry-mix,25,1,go LOC hallway,0,False,rule=The world seems to be governed by physical ru | rooms=1
2ba680ba,probe52_sw,chemistry-mix,25,2,go outside,7,False,rule=The world seems to be governed by physical ru | rooms=1
2ba680ba,probe52_sw,chemistry-mix,25,3,go hallway,7,False,"rule=The 'go loc' command does not work, but the ' | rooms=1"
2ba680ba,probe52_sw,chemistry-mix,25,4,go hallway,7,False,rule=The 'go' command with a specific door or loca | rooms=1
2ba680ba,probe52_sw,chemistry-mix,25,5,go door hallway,7,False,rule=The 'go' command might require specifying 'do | rooms=1
2ba680ba,probe52_sw,chemistry-mix,25,6,look around,7,False,rule=The 'go' command might require specifying 'do | rooms=1
2ba680ba,probe52_sw,chemistry-mix,25,7,go door kitchen,7,False,rule=The 'go' command requires specifying 'door' b | rooms=1
2ba680ba,probe52_sw,chemistry-mix,25,8,go door kitchen,7,False,rule=The 'go' command requires specifying 'door' b | rooms=1
2ba680ba,probe52_sw,chemistry-mix,25,9,go kitchen,29,False,rule=The 'go' command might require a different sy | rooms=1 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,10,look around,29,False,rule=The 'go' command requires specifying the loca | rooms=1
2ba680ba,probe52_sw,chemistry-mix,25,11,read instructions to make peanut butter with banana sandwich,36,False,rule=The 'go' command requires specifying the loca | rooms=2
2ba680ba,probe52_sw,chemistry-mix,25,12,go bathroom,36,False,rule=The 'go' command requires specifying the loca | rooms=2
2ba680ba,probe52_sw,chemistry-mix,25,13,go kitchen,36,False,rule=The 'go' command requires specifying the loca | rooms=2
2ba680ba,probe52_sw,chemistry-mix,25,14,read instructions to make peanut butter with banana sandwich,36,False,rule=examining specific objects or containers can  | rooms=2
2ba680ba,probe52_sw,chemistry-mix,25,15,wait1,36,False,rule=examining specific objects or containers can  | rooms=2
2ba680ba,probe52_sw,chemistry-mix,25,16,wait1,36,False,rule=examining specific objects or containers can  | rooms=2
2ba680ba,probe52_sw,chemistry-mix,25,17,wait1,36,False,rule=examining specific objects or containers can  | rooms=2
2ba680ba,probe52_sw,chemistry-mix,25,18,go foundry,36,False,rule=examining specific objects or containers can  | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,19,go bathroom,36,False,rule=I hypothesize that interacting with specific  | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,20,go hallway,36,False,rule=I hypothesize that certain rooms or locations | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,21,open door bathroom,36,False,rule=I hypothesize that certain objects or ingredi | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,22,look around,36,False,rule=I hypothesize that certain rooms or areas may | rooms=2 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,23,go kitchen,36,False,rule=I hypothesize that certain objects or ingredi | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,24,open door bathroom,36,False,rule=I hypothesize that certain objects or ingredi | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,25,look around,36,False,"rule=I hypothesize that certain rooms, such as the | rooms=3 | EXPERIMENT"
2ba680ba,probe52_sw,chemistry-mix,25,26,open cupboard,36,False,rule=I hypothesize that interacting with objects i | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,27,use orange on cupboard,36,False,rule=I hypothesize that specific interactions betw | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,28,go foundry,36,False,rule=I hypothesize that specific interactions betw | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,29,go foundry,36,False,rule=I hypothesize that exploring new rooms and in | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,30,look around,36,False,rule=I hypothesize that using specific doors to mo | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,31,pick up peanut,36,False,rule=I hypothesize that using objects on each othe | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,32,go outside,36,False,rule=I hypothesize that certain objects or ingredi | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,33,look around,36,False,rule=I hypothesize that certain objects or ingredi | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,25,34,go greenhouse,36,False,rule=I hypothesize that certain objects or ingredi | rooms=3 | EXPERIMENT
2ba680ba,probe52_sw,chemistry-mix,26,0,go outside,17,False,rule=the blast furnace and sink are devices that c | rooms=1
2ba680ba,probe52_sw,chemistry-mix,26,1,go LOC: kitchen,17,False,rule=the blast furnace and sink are devices that c | rooms=1
2ba680ba,probe52_sw,chemistry-mix,26,2,go outside,17,False,rule=the blast furnace and sink are devices that c | rooms=1
2ba680ba,probe52_sw,chemistry-mix,26,3,look around,17,False,rule=location names might need to be in a specific | rooms=1
2ba680ba,probe52_sw,chemistry-mix,26,4,go kitchen,25,False,rule=location names might need to be in a specific | rooms=1
2ba680ba,probe52_sw,chemistry-mix,26,5,look around,25,False,"rule=location names can be used to navigate, and d | rooms=1"
2ba680ba,probe52_sw,chemistry-mix,26,6,read instructions to make rust,33,False,"rule=location names can be used to navigate, and d | rooms=2"
2ba680ba,probe52_sw,chemistry-mix,26,7,go bathroom,33,False,"rule=location names can be used to navigate, and d | rooms=2"
2ba680ba,probe52_sw,chemistry-mix,26,8,wait1,33,False,"rule=location names can be used to navigate, and d | rooms=2"
2ba680ba,probe52_sw,chemistry-mix,26,9,read recipe book,33,False,"rule=location names can be used to navigate, and d | rooms=2"
2ba680ba,probe52_sw,chemistry-mix,26,10,read instructions to make rust,33,False,"rule=location names can be used to navigate, and d | rooms=2"
2ba680ba,probe52_sw,chemistry-mix,26,11,read recipe book,33,False,"rule=location names can be used to navigate, and d | rooms=2"
