run_id,variant,game,seed,step,action,score,state,won,note
a8809257,probe52_arc,complex_maze,0,0,ACTION1,0,GameState.NOT_FINISHED,False,mechanics=I hypothesize that the actions are related to moving or modifying the grid in so | EXPERIMENT | cd=[]
a8809257,probe52_arc,complex_maze,0,1,ACTION2,0,GameState.NOT_FINISHED,False,"mechanics=I believe the actions modify the grid by changing cell values, and the goal is t | cd=[]"
a8809257,probe52_arc,complex_maze,0,2,ACTION3,0,GameState.NOT_FINISHED,False,"mechanics=I believe the actions modify the grid by changing cell values, and the goal is t | cd=[]"
a8809257,probe52_arc,complex_maze,0,3,ACTION6,0,GameState.NOT_FINISHED,False,"mechanics=The actions modify the grid by changing cell values, and the goal is to clear le | cd=[]"
a8809257,probe52_arc,complex_maze,0,4,ACTION4,0,GameState.NOT_FINISHED,False,"mechanics=The actions modify the grid by changing cell values, and the goal is to clear le | cd=[]"
a8809257,probe52_arc,complex_maze,0,5,ACTION5,0,GameState.NOT_FINISHED,False,"mechanics=The actions modify the grid by changing cell values, and the goal is to clear le | cd=[]"
a8809257,probe52_arc,complex_maze,0,6,ACTION4,0,GameState.NOT_FINISHED,False,mechanics=The actions modify the grid by changing cell values. ACTION1 changes the top-lef | cd=[]
a8809257,probe52_arc,complex_maze,0,7,ACTION4,0,GameState.NOT_FINISHED,False,mechanics=The actions might be modifying the grid in a way that requires a specific sequen | EXPERIMENT | cd=[]
a8809257,probe52_arc,complex_maze,0,8,ACTION4,0,GameState.NOT_FINISHED,False,"mechanics=The actions might be modifying a hidden state or counter, and the goal could be  | EXPERIMENT | cd=[]"
a8809257,probe52_arc,complex_maze,0,9,ACTION1,0,GameState.NOT_FINISHED,False,mechanics=The actions might be related to modifying specific patterns or structures within | EXPERIMENT | cd=[]
a8809257,probe52_arc,complex_maze,0,10,ACTION6,0,GameState.NOT_FINISHED,False,mechanics=The actions might be related to modifying specific patterns or structures within | EXPERIMENT | cd=[]
a8809257,probe52_arc,complex_maze,0,11,ACTION1,0,GameState.NOT_FINISHED,False,mechanics=The actions might be related to modifying specific patterns or structures within | EXPERIMENT | cd=[]
a8809257,probe52_arc,complex_maze,0,12,ACTION6,0,GameState.NOT_FINISHED,False,mechanics=The actions might be related to modifying specific patterns or structures within | EXPERIMENT | cd=[]
a8809257,probe52_arc,complex_maze,0,13,ACTION6,0,GameState.NOT_FINISHED,False,mechanics=The actions might be related to modifying specific patterns or structures within | EXPERIMENT | cd=[]
a8809257,probe52_arc,complex_maze,0,14,ACTION1,0,GameState.NOT_FINISHED,False,mechanics=The actions might be related to modifying specific patterns or structures within | EXPERIMENT | cd=[]
