run_id,variant,env_id,seed,step,action,reward,done,note
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,0,0,SE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,0,1,E,1.0,True,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,0,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,1,E,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,2,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,3,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,4,E,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,5,W,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,6,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,7,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,8,E,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,9,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,10,S,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,11,N,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,12,W,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,13,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,14,E,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,15,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,16,W,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,17,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,18,E,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,19,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,20,NE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,21,W,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,22,NE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,23,E,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,24,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,25,W,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,26,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,27,E,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,28,NE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,29,W,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,30,NE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,31,E,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,32,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,33,W,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,34,E,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,35,SE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,36,W,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,37,SE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,38,SE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,39,NE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,40,E,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,41,SE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,42,SW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,43,SE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,44,W,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,45,SE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,46,N,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,47,S,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,48,E,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,1,49,SE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,2,0,NW,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,2,1,N,0.0,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,2,2,SE,-0.01,False,
848e1787,baseline_mh,MiniHack-MazeWalk-9x9-v0,2,3,N,0.0,False,
